skillDevelopment,location,reviewText,overallScore,workSatisfaction,jobFunction,companyCulture,postedon,pros,careerGrowth,salaryBenefits,company,cons,workLifeBalance,jobSecurity
4,Pune,Hectic which kept myself engrossed in operations,4,3,Accounts Payable Specialist,4,10-Aug-18,"At Infosys Job security was 100%, enjoyed working for many years learned many things from fresher to experienced further cannot continue so had to leave Infosys. I would recommend for freshers to start career with Infosys.",3,3,Infosys,I would not say dislike but not happy with work life balance and unsatisfied with compensation and benefit.,3,5
2,,,5,3,Senior System Engineer for 5.4 years,5,20-Mar-19,,3,2,Infosys,,5,5
2,Hyderabad,,3,2,Lead Consultant,4,31-Oct-18,Nothing to describe,3,2,Infosys,"Work life balance, compensation and benefits, career growth",1,4
5,,"Games,Drama,Fashion shows",4,4,Technical Support Specialist for 11 months in Pune,5,30-Oct-18,You feel secure with your job. Indy gives you multiple choices too if you are not compatible with position.,3,2,Infosys,"Nice working environment and supporting team you can find there. Good culture daily life things you can find small market place,gym ,games and other things also.",5,5
1,,,4,3,Technical Analyst for 5.4 years,4,18-Aug-18,,3,3,Infosys,,4,1
1,Bhubaneswar,Boring and Hectic,3,1,Senior System Engineer,4,29-Jul-18,Only thing to like about my job is its secured.,2,1,Infosys,"Company, these days doesnt focus on the growth of freshers, rather just forces them to job a shift project or testing job. There is no scope to grow, least improvement in salary, no on-site opportunity. The company only sees us nothing more than just a slave.",2,4
5,,Good,5,5,Associate/senior Associate -(nontechnical) for 2 years in Mysuru,5,22-Apr-21,"Campus, management, amenities, cleanliness, on time salary,",5,3,Infosys,Salary hike,5,5
5,,,3,1,Software Test Engineer for 2.2 years in Pune,5,28-Feb-20,Amenities like swimming pool and gym,1,1,Infosys,Low salary,5,5
5,,Works was excellent,4,5,Technology Analyst for 3.9 years in Pune,5,22-Mar-19,Very best company to learn lots of thing. You need to be open minded,5,2,Infosys,Every thing is good in this company apart from salary.,4,4
4,,,5,4,Technology Analyst for 5.4 years,4,8-Aug-18,,5,4,Infosys,,5,5
3,Pune,,3,3,Buyer,3,26-Mar-18,"The job security is good. Campus facilities is good, but no use for BPO employees.",3,2,Infosys,"BPO culture is very old school. Managers/team leads are not trained to stand up for their people. Policies are not employee friendly. Will buy you out during hiring, but will not allow other companies to buy you out - 3 month notice period ensures you never get hired by other companies. Leave policy is extremely dated, not enough leaves in a year.",3,4
4,,"Almost every day I get challenging work to do, which I enjoy a lot. I always prefer to avail the facilities provided by Infosys. Even if my day is not good, swimming, gym or simply sitting or walking in big ground relaxes me.",4,4,Senior Systems Engineer for 3.1 years in Pune,4,23-Mar-18,I worked in 3 projects till now and all those projects I had great learning. You always have option to learn and enhance your skillset. Though I do not have WFH facility but never found difficulty to manage work life with my personal life.,3,3,Infosys,Less leave days,4,4
2,Bhubaneswar,ok,3,5,Technology Leader,4,7-Jan-19,"Culture, infrastructure",3,1,Infosys,Compensation Growth,5,5
4,,,5,3,Technology Analyst for 3.1 years in Pune,5,15-Dec-18,Training and Management,5,5,Infosys,Onsite opportunities,5,5
2,Pune,"Out of 7 years, i found that I actually worked only for 5 years when I was productive and efficient. I had always given my best. I was acknowledged for my work, but there was no corresponding monetary benefits associated with it, res in lack of motivation",3,3,Senior Consultant- ERP / CRM ( SAP SD),3,19-Apr-19,"Good campus, facilities, work life balance thats it. Otherwise it has nothing great to offer. Company is running just because of few intellectual and capable employees.",3,1,Infosys,"No skill development, management don't have eye to identify good resources and reward them. They give hikes only when person resigns.",4,4
5,,,5,4,"Sr. Manager-Infrastructure & Green Initiative (Water Supply-PHE & Firefighting, STP, WTP) for 7.2 years in Bangalore",4,12-Feb-19,"Innovation, water and energy savings projects",3,3,Infosys,nothing,4,3
4,Bangalore,I worked in multiple projects and technologies. Infosys helped me to shape my career in positive way,4,4,Technology Leader- Data And Analytics,4,24-Aug-18,It's awesome working in Infosys. There are multiple opportunities and different kind of work that is available all the time.,4,4,Infosys,The only drawback working at Infosys is that you have many people fighting for one position / opportunity and if you are not smart than you would loose it,4,4
5,Chennai,,5,5,Process Associate,5,27-Jul-19,,5,5,Infosys,,5,5
5,Visakhapatnam,Any,5,5,Sales And Marketing,5,20-Apr-19,Any,5,5,Infosys,1 year,5,5
4,Bangalore,,4,3,Process Excecutive,4,6-Mar-19,People are good and ofcourse security specially for girls,4,1,Infosys,Salary,2,5
3,,,4,4,Lead Accountant - Team Leader for 10 months,2,18-Feb-19,Over All Infosys BPM is a good company when you are looking for growth. I will recommend the company for experienced people.,4,2,Infosys,Work days:,4,5
4,,,4,4,Accountant for 3.1 years in Chennai,4,10-Jan-19,Infosys BPM is a very good company. As a result I can concentrate in my career growth and opportunities.,3,3,Infosys,Nothing.,4,5
3,Hyederabad,,5,2,Senior Process Executive,5,10-Dec-18,"Job security, Company culture",3,2,Infosys,Payscale,3,5
3,Bangalore Rural,,4,1,Senior Process Executive,4,14-Jan-22,Culture and colleague are friendly,2,2,Infosys,Salary is decent and career growth is slow.,3,4
5,Pune,Exciting,5,4,Technology Support Specialist,5,25-Mar-19,"Work environment was good, great place to work",4,4,Infosys,Salary,5,5
5,,,5,5,Technical Analyst for 4 year in Chandigarh,5,12-Mar-19,Everything is good.,5,5,Infosys,Annual increment is very low.,5,5
1,Bangalore,Business Analyst,3,1,Senior Associate Consultant,3,16-May-19,Stable working Life.,2,2,Infosys,"Lots of internal politics and boot-licking. Organization policies are terrible. They can be changed any moment by the leadership team based on their convenience. No recognition of hard work and efforts. Its all about the individuals frustration level, the more frustrated the individual is, the more they listen. Not suitable for someone looking for growth and opportunities and hard work. Best fit for retirement.",3,5
5,,Fantastic,5,4,Senior Processing Associate for 2.9 years in Chennai,5,9-Feb-19,Proud to being work here because the brand not salary,3,3,Infosys,Salary,5,5
5,Hyderabad,,5,5,Process Executuve,5,27-Jan-19,Job security,5,3,Infosys,Salary and compensation,5,5
4,Pune,,4,4,Software Developer,4,4-Feb-19,Work culture,4,3,Infosys,Transparency work related with management,4,5
5,Hyderabad,,5,4,Senior System Engineer,5,10-Sep-18,There will be good chance for learning new skills and getting updated,3,3,Infosys,I feel that there will be many politics around the person who will be completely dedicated to work and getting appraisals,3,5
4,,,4,3,Senior Associate Consultant for 2.6 years,3,30-Oct-19,,4,3,Infosys,,3,3
4,,,5,4,Senior Process Executive for 11 months in Mysore,5,10-Aug-19,,4,3,Infosys,,4,5
3,Chennai,,4,4,Senior System Engineer,4,20-May-18,In Infosys training will be so good that you can enjoy like anything along with your studies. Job security will be there but salary hikes won't be that much attractive and career growth depends upon your project.,4,3,Infosys,You won't get the preferred location which is purely depends on business requirements and also won't much innovation,4,4
1,Banglore,,1,1,Nerwork Support,1,12-Mar-19,Yes but in different domain,1,1,Infosys,No but would like to work on network support or software,1,1
4,,"Keep in mind it's a service based industry. Most of the work is redundant. But in few cases it is not true. It depends, you may get a one of a kind, kind of a work which is challenging, exciting and may soothe the curiosity.",4,4,Senior Design Engineer for 2.2 years in Mysore,4,8-Jun-19,"Great place to start your career, gives you ample of opportunities and own your career. Prepare their resources to become assets. Amazing work life balance. Nice managers. Cooperative HRs.",4,3,Infosys,"Monetary benefits, but if you see for the facilities they provide in my opinion it balances out. I had been to 3 locations, Mysore, Mangalore and Chennai, Company campuses are like heaven. If you are a localite this company is a finest place to be employed.",4,4
5,,,5,5,Senior System Engineer for 1.7 years in Gachibowli,5,17-Jan-19,"I like work culture and learning, team & managers support.",5,5,Infosys,Work days:,5,5
3,,sometimes boring and sometimes exciting,5,4,Test Analyst for 5.3 years in Hyderabad,4,14-Nov-18,"The facilities, services, infrastructure",3,1,Infosys,1.no free transport facility 2. 9.15hrs working policy,2,3
3,Mysore,,2,3,Lead Engineer- Design Engineering,2,21-Oct-18,Bad mid management non recognition work ing member's. Cast and place based performance systems,1,2,Infosys,Performance rating not based on work or contributions,2,3
4,,Good,4,4,Mysore for 1.5 years in Hyderabad,4,25-Sep-18,"Teammates will help when ever we have any queries, career growth is also going good, we can learn many things and also come up with upgrading technologies.",4,3,Infosys,"For freshers won't get Project up to 1 year at that time it is very difficult for them what to do,that was the major dislike at infisys",4,5
3,Bangalore,Now it became hectic.,3,2,Test Analyst,5,9-Aug-18,Good policies for employees and breathtakingly beautiful campuses.,2,2,Infosys,No career growth. Expected to work 10-12 hrs per day on low salary.,3,5
5,,,5,5,Process Specialist,5,2-Sep-19,Salary was less,5,5,Infosys,Work related travel:,5,5
4,,,5,4,Team Leader for 5.8 years in Hyderabad,4,24-Jun-19,Infosys,4,3,Infosys,Nothing,5,5
1,,,4,3,Process Executive for 9 months in Pune,4,6-Dec-19,Infrastructure,5,1,Infosys,Salary,2,5
3,Bangalore,Boring,3,2,Senior Systems Engineer,3,6-Mar-19,job security,2,2,Infosys,"compensation, timings, manager",3,4
5,Pocharam,,5,5,Sap Fico Functional Consultant,4,8-Mar-19,Work life balance,5,4,Infosys,Work days:,5,5
5,Pune,"I have worked on two projects , both the project was good I have learned a lot.",5,5,Technology Analyst,5,12-Dec-18,World class infrastructure,3,2,Infosys,Compensation,4,3
1,Pune,Boring,1,1,Process Specialist,2,6-Nov-18,Worst experience. Never seen dirty management ever.,1,1,Infosys,Work culture,1,1
4,Pune,"Work experience with Edge verve unit(Infosys Subsidiary company) was boring. Otherwise, work experience within infosys was very good.",4,4,Technology Analyst,5,20-Aug-18,It was a good experience working with Infosys. Provides a very good work environment and opportunities to grow. Ample opportunities available within the organisation.,4,4,Infosys,Nothing as such.,4,5
5,,I love infosys. Someone experience is good or bad but cant defame it because of one people.,5,5,Senior System Engineer for 1.4 years in Pune,5,17-Dec-19,Infosys will do all the things for there employees.everthing is flexible,5,5,Infosys,Nothing negative.,5,5
5,,,5,4,System Engineer for 3.7 years,5,7-Nov-19,,3,3,Infosys,,5,5
3,,,3,1,Accounts Executive for 3.1 years,1,7-Nov-19,,1,2,Infosys,,2,3
4,,,4,4,Project Manager for 1.4 years in Hyderabad,4,20-Jul-19,,4,4,Infosys,,4,4
5,Hyderabad,As a fresher it is a good start for me. Learned a lot in less time. Earned Global client recognition in my very first project.,4,4,Senior System Engineer,5,21-Mar-18,Training is awesome. High job security. Upskill and certifications are encouraged. Peaceful work place. Worlds best campus.,4,3,Infosys,"Work - life balance as most of the offices are located on the outskirts travel time is huge. For freshers who start career at Infy, salary isn't good but for laterals it is as per market. No benefits or compensations.",4,5
5,,Infosys will not out source the business it will manage the business it's behonde outsourcing so we called as Businesses Process Management,5,5,Senior Process Executive Data for 2 year in Bangalore,5,21-Mar-18,INFOSYS is a grate company which gives value to their workers in terms of lerning work pressure and security of life and they will allow luxurious life within the company but same thing opposite in a salary part there is an reason for it they will not leave the employee which has loose there projects they will put them in bench and try to move for other project and no matter who many days the employee stay without work they will pay the salary to them is their any company will pay salary without project?,5,2,Infosys,Salary,5,5
5,HYDERABAD,,4,4,Automation Test Analyst,4,3-Jan-20,Skill Development and Learning,5,4,Infosys,Less work life balance,3,5
4,Pune,,4,4,Operations Manager,4,5-Oct-19,Work timings: ,4,3,Infosys,,4,3
5,,,4,4,Process Specialist for 4.4 years in Bangalore,5,18-Jul-19,,5,3,Infosys,,4,5
4,,,4,3,Process Specialist Sme for 6.3 years in Pune,4,24-Mar-19,"Campus, infrastructure",3,4,Infosys,Transportation,4,4
5,,Fantastic,4,4,Senior Technology Specialist for 11.5 years in Pune,4,6-Feb-19,Working tactics,4,3,Infosys,AVG salary,5,4
2,Bangalore,I was working as a developer.it was a development project but they are using old technologies,3,3,Senior System Engineer,3,1-Jan-19,"In some projects it is good,but 80% are support projects. But managers are technically illiterate.",3,1,Infosys,"Managers are technically illiterate,so it is very difficult to make them understand the situation.",4,5
3,,,5,4,Supervisor Process Specialist for 2.4 years in Gurgaon,1,7-Feb-19,Over all good experience about 2.6 years . If i will get any opportunity then i will definitely rejoin .,4,1,Infosys,Salary and annual hike,4,5
4,Chennai,Hectic,5,4,Technology Analyst,5,7-Dec-18,I really like to work with Infosys.,5,3,Infosys,The work pressure is very high.,3,4
5,Bangalore,"No target pressure, very much Happy about it",4,5,Process Specialist (sme),5,6-Dec-18,Overall awesome place to work,4,3,Infosys,Compensation must be improved,4,5
2,Bangalore,Work is ok .politics is more and unnecessary process,2,1,Project Manager,1,7-Sep-18,They have convent model and desciplined model but no skilled people,2,1,Infosys,Salary and timings,3,1
5,Bengaluru,No comments,5,5,"Team Leader,transport Department,",5,26-Nov-19,Environment,5,5,Infosys,"Politics, policies,salary",5,5
